timestamp_(min),feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
10,0.732505999,0.76124945,0.610749376,0.488804802,0.451892239,0.426717316,0.539772727,0.427870091,0.478399753,0.465900888,0.478088513,0.48796006,0.153112387,0.137771951,0.199991687,0.310372124,0.478879249,0.574382755,0.51462688,0.625989626,0.008431703,0,0.492868074,0.008714597,0.138248848
11,0.732603509,0.761147953,0.610146506,0.488805789,0.439384221,0.421652422,0.517045455,0.421072508,0.477585142,0.46407641,0.488691378,0.492663972,0.149154896,0.136305874,0.197363509,0.304586018,0.478025885,0.573254794,0.506931707,0.62981163,0.006745363,0,0.479268328,0.008714597,0.175115207
12,0.732826783,0.761475947,0.609627919,0.488833951,0.439063502,0.427983539,0.505681818,0.449018127,0.471305752,0.474177991,0.48273417,0.505444938,0.15120588,0.13574351,0.198852003,0.301205667,0.471767885,0.578769269,0.497327871,0.61998362,0.006745363,0,0.481592701,0.008714597,0.3640553
13,0.733133665,0.761432899,0.609252446,0.488899607,0.44355356,0.427983539,0.528409091,0.447129909,0.475079561,0.46645953,0.492794446,0.500984768,0.149792119,0.136114675,0.195754818,0.307909342,0.476461385,0.574382755,0.500889158,0.580808081,0.008431703,0,0.495726619,0.008714597,0.668202765
14,0.733065524,0.761753883,0.60968397,0.488901794,0.435856318,0.419436531,0.528409091,0.413519637,0.476647034,0.471476844,0.49329853,0.476016776,0.148910895,0.134093352,0.195304984,0.315080018,0.476888067,0.580022559,0.503761464,0.545864046,0.006745363,0.003558719,0.476063292,0.013071895,0.3640553
15,0.733006524,0.761687916,0.609580574,0.488904472,0.433290571,0.410889522,0.511363636,0.418806647,0.465102361,0.45620312,0.461134818,0.484474851,0.156832538,0.140802501,0.207223631,0.294054023,0.466078794,0.574508084,0.478823146,0.558422058,0.006745363,0,0.504042387,0.006535948,0.207373272
16,0.733066865,0.761659869,0.60980858,0.488909845,0.427838358,0.411522634,0.534090909,0.414274924,0.470997008,0.461120003,0.496102494,0.472251406,0.149484663,0.136317412,0.19402013,0.316997881,0.471625658,0.574884071,0.507969834,0.568386568,0.006745363,0,0.489345422,0.008714597,0.142857143
17,0.733227042,0.761811846,0.609061487,0.488894055,0.441949968,0.416587528,0.522727273,0.436933535,0.476442787,0.467070479,0.492632253,0.517166895,0.149984167,0.135514306,0.196116699,0.289340996,0.476888067,0.576638677,0.482915134,0.599099099,0.006745363,0,0.497358011,0.006535948,0.124423963
18,0.733435436,0.76174362,0.605729015,0.488903631,0.431686979,0.414688192,0.482954545,0.420317221,0.471362751,0.464055488,0.488373993,0.526260937,0.150314814,0.135155404,0.19717615,0.287461414,0.47205234,0.566111041,0.446655184,0.622986623,0.008431703,0,0.456558773,0.006535948,0.152073733
19,0.733637146,0.761752288,0.60798263,0.488929786,0.437139192,0.423551757,0.528409091,0.423338369,0.476977153,0.468708743,0.477055453,0.516743851,0.147777134,0.134368113,0.198308013,0.284230424,0.477456976,0.563479133,0.469172757,0.626808627,0.006745363,0,0.490067277,0.008714597,0.124423963
20,0.733763608,0.761985928,0.609030631,0.488949529,0.436177037,0.41563786,0.539772727,0.422205438,0.48174132,0.472238437,0.490583247,0.521313285,0.148622656,0.136283962,0.19699347,0.289525416,0.482292704,0.577891966,0.494334528,0.637728638,0.010118044,0,0.500779603,0.006535948,0.105990783
21,0.733891545,0.761913422,0.610330475,0.488957147,0.457023733,0.426084204,0.539772727,0.425981873,0.48827958,0.473989685,0.49857118,0.522540392,0.150725528,0.136517669,0.195925405,0.280516361,0.488692931,0.577515979,0.512136307,0.64004914,0.008431703,0,0.477752433,0.008714597,0.087557604
22,0.734023903,0.76201208,0.610699428,0.488956676,0.44964721,0.419753086,0.494318182,0.424093656,0.481807818,0.473169507,0.492453723,0.521520604,0.146888068,0.13406258,0.196555754,0.28397446,0.482434931,0.577014663,0.500451562,0.645099645,0.008431703,0,0.498686224,0.010893246,0.082949309
23,0.734222583,0.762098593,0.609982413,0.488975575,0.452533675,0.426717316,0.551136364,0.425226586,0.481145205,0.46956449,0.493751271,0.515533554,0.146499919,0.131995483,0.195654216,0.283380601,0.481723795,0.576513348,0.488454914,0.643461643,0.006745363,0,0.492564895,0.008714597,0.082949309
24,0.734387845,0.762036125,0.610286448,0.488990945,0.452533675,0.435264324,0.528409091,0.425981873,0.484360899,0.472050131,0.498523339,0.516528127,0.150357287,0.135426424,0.19680547,0.285771712,0.485421704,0.575385387,0.508086216,0.646191646,0.006745363,0,0.494744896,0.006535948,0.092165899
25,0.734484034,0.7618649,0.610967579,0.488973945,0.453175112,0.42640076,0.522727273,0.422205438,0.490977533,0.479680716,0.50932107,0.526426232,0.146802775,0.134003518,0.193121567,0.286850012,0.492675295,0.565484397,0.510655928,0.647010647,0.010118044,0,0.494658274,0.008714597,0.087557604
26,0.734721047,0.761890098,0.610719506,0.488995744,0.457023733,0.433364989,0.539772727,0.425981873,0.493494989,0.484633169,0.522420238,0.529998291,0.148671204,0.134310537,0.193733256,0.287376617,0.493955341,0.566361699,0.518635073,0.646601147,0.005059022,0,0.490875754,0.006535948,0.092165899
27,0.73488572,0.761936901,0.609291934,0.488989558,0.456382296,0.420069642,0.568181818,0.419939577,0.486248991,0.475429181,0.503920065,0.515592387,0.145778873,0.132968861,0.193175549,0.283989035,0.48769734,0.565985712,0.483864811,0.645236145,0.006745363,0,0.501068345,0.010893246,0.087557604
28,0.734919308,0.76189893,0.608972169,0.488984031,0.438742784,0.422602089,0.517045455,0.416163142,0.47997435,0.47414033,0.505853552,0.515987415,0.145805481,0.131017878,0.189930197,0.288143095,0.480585976,0.562977817,0.482477538,0.646737647,0.008431703,0,0.494918142,0.006535948,0.092165899
29,0.734931819,0.761923852,0.609354308,0.489011412,0.436818473,0.417853751,0.494318182,0.416163142,0.479675106,0.462649468,0.475005669,0.500727019,0.146875734,0.132922028,0.198663676,0.294542457,0.480017067,0.560721895,0.463912295,0.644417144,0.006745363,0,0.481809257,0.010893246,0.087557604
30,0.734981103,0.76189161,0.609871885,0.488994552,0.439063502,0.408990187,0.511363636,0.408610272,0.472103738,0.461848121,0.494058544,0.503971289,0.148642857,0.135265785,0.193881062,0.289794213,0.472479021,0.56134854,0.502541781,0.644144144,0.006745363,0,0.482747668,0.006535948,0.087557604
31,0.734951522,0.762015466,0.610772066,0.488999802,0.456703015,0.417537195,0.528409091,0.414274924,0.47371871,0.459121865,0.478589095,0.511591681,0.147168297,0.131981015,0.198920491,0.284534862,0.474185749,0.556084722,0.507485685,0.648102648,0.006745363,0,0.492998008,0.006535948,0.087557604
32,0.73497163,0.761992888,0.610461364,0.488987458,0.434894163,0.417220639,0.534090909,0.421072508,0.473032347,0.464986557,0.482479017,0.505077927,0.147489134,0.133127965,0.196847787,0.290838802,0.473474612,0.558716631,0.503938364,0.646874147,0.006745363,0,0.515664251,0.008714597,0.082949309
33,0.735103659,0.761960181,0.609153041,0.489040958,0.434894163,0.418170307,0.522727273,0.427492447,0.470602764,0.460910774,0.480186137,0.506316241,0.15212389,0.136845022,0.199863728,0.29838189,0.471198976,0.555458077,0.484698105,0.647420147,0.006745363,0,0.487208732,0.008714597,0.087557604
34,0.735085336,0.761963918,0.609857616,0.48902052,0.448043618,0.425767648,0.488636364,0.429380665,0.478938869,0.463892289,0.477399287,0.513984261,0.149994067,0.133868228,0.199331134,0.288825889,0.479305931,0.566737686,0.482989619,0.650969151,0.005059022,0,0.470115208,0.008714597,0.078341014
35,0.735241014,0.761844965,0.61053911,0.489025515,0.435214881,0.415004748,0.5,0.41805136,0.468785921,0.463703983,0.482246812,0.508818083,0.152829541,0.139184244,0.203250233,0.30603572,0.469350021,0.570121569,0.494432289,0.649467649,0.010118044,0,0.488811249,0.006535948,0.087557604
36,0.735170153,0.761957875,0.609318384,0.489039905,0.460872354,0.42640076,0.522727273,0.429758308,0.484995013,0.469878333,0.496203622,0.525510104,0.150376482,0.137112072,0.19962794,0.295055605,0.485563931,0.567865647,0.493566408,0.646601147,0.010118044,0,0.469393353,0.006535948,0.092165899
37,0.735532883,0.761920725,0.61056027,0.489049308,0.477549711,0.441278886,0.528409091,0.450528701,0.505336532,0.504673132,0.513404691,0.586055803,0.155683304,0.136799745,0.205061824,0.301789076,0.506329114,0.572628149,0.523011033,0.652880153,0.013490725,0,0.470764877,0.008714597,0.101382488
38,0.736217452,0.761857315,0.608384724,0.489057074,0.450930083,0.418486863,0.494318182,0.428625378,0.483793284,0.483344318,0.491954696,0.556563203,0.147278564,0.135422675,0.202092814,0.287035674,0.487128431,0.567614989,0.475676179,0.651924652,0.028667791,0,0.490789132,0.008714597,0.087557604
39,0.736263129,0.761901079,0.608957239,0.489085281,0.429121232,0.404558405,0.505681818,0.40521148,0.463734385,0.455403864,0.477941488,0.485858849,0.148072271,0.132786178,0.194796112,0.300168431,0.464087612,0.562476501,0.48335273,0.646191646,0.008431703,0,0.478835215,0.006535948,0.087557604
40,0.736087277,0.762142534,0.610270322,0.489077032,0.432969852,0.41183919,0.494318182,0.401057402,0.463836508,0.454336796,0.471710457,0.483928536,0.14930507,0.133184733,0.19831496,0.305155465,0.464087612,0.555207419,0.497923747,0.648239148,0.008431703,0,0.476092166,0.008714597,0.078341014
41,0.736150602,0.761856688,0.610267332,0.489065673,0.444836434,0.423235201,0.517045455,0.418429003,0.476908279,0.465969934,0.479244093,0.522672068,0.149282619,0.133728399,0.198824663,0.300200081,0.477456976,0.558215315,0.496541129,0.650969151,0.005059022,0,0.478301042,0.008714597,0.082949309
42,0.736176303,0.76213234,0.610339313,0.489070094,0.425272611,0.416270972,0.505681818,0.403323263,0.467436945,0.455805584,0.474191201,0.478840804,0.148183316,0.134231991,0.196530019,0.315590406,0.467785521,0.559092618,0.499227224,0.644007644,0.001686341,0,0.480076805,0.008714597,0.078341014
43,0.736125354,0.762009081,0.609431161,0.4892068,0.438422065,0.415004748,0.522727273,0.407854985,0.465064361,0.454889161,0.483151906,0.481690046,0.147302248,0.131551647,0.191987024,0.307099226,0.465509885,0.557713999,0.485135701,0.647693148,0.008431703,0,0.494124101,0.006535948,0.073732719
44,0.735995882,0.762084834,0.609850808,0.488825334,0.436177037,0.419436531,0.556818182,0.412009063,0.471638246,0.460822898,0.474657945,0.483256149,0.148871239,0.132912312,0.19794418,0.311027353,0.471910112,0.561849856,0.481858386,0.647147147,0.008431703,0,0.489634164,0.008714597,0.073732719
45,0.736033852,0.761998122,0.611261214,0.488796885,0.43745991,0.427033871,0.511363636,0.410876133,0.471301002,0.465091172,0.47946424,0.492229721,0.148430908,0.133075682,0.195667297,0.306012641,0.471767885,0.563604462,0.509976258,0.645372645,0.008431703,0,0.505356163,0.008714597,0.078341014
46,0.736046781,0.761982911,0.61050319,0.488773758,0.446760744,0.418486863,0.534090909,0.412386707,0.473146345,0.467340384,0.485202857,0.540014064,0.14789984,0.132125649,0.19935963,0.284356356,0.473759067,0.560596566,0.488394395,0.646328146,0.010118044,0,0.487901712,0.008714597,0.087557604
47,0.735899811,0.762097089,0.611317691,0.488790284,0.438742784,0.413421969,0.528409091,0.402190332,0.468315679,0.458877067,0.47390532,0.488820156,0.148623114,0.133415089,0.199317542,0.307341,0.468638885,0.560847224,0.503500768,0.64987715,0.006745363,0,0.451635723,0.008714597,0.087557604
48,0.735969192,0.762012859,0.610360669,0.489125423,0.45157152,0.424184869,0.505681818,0.422205438,0.47655916,0.465225078,0.480804962,0.506814928,0.148257787,0.132571117,0.199529881,0.298628895,0.476888067,0.564105778,0.492868116,0.646055146,0.003372681,0,0.491251119,0.008714597,0.087557604
49,0.736159804,0.762397823,0.609889251,0.489134925,0.44355356,0.420069642,0.528409091,0.418806647,0.476050919,0.465411292,0.478297769,0.528474213,0.147885713,0.132277925,0.199710864,0.28858647,0.476461385,0.559217947,0.488729575,0.647283647,0.010118044,0,0.481289522,0.010893246,0.096774194
50,0.736159874,0.762497005,0.609931778,0.489135129,0.427196921,0.408990187,0.517045455,0.393882175,0.457279248,0.448292168,0.458718251,0.472430709,0.148407967,0.132721866,0.198487531,0.307796711,0.457687384,0.557964657,0.466868395,0.649194649,0.008431703,0,0.494268472,0.008714597,0.092165899
51,0.736133214,0.762354181,0.610806442,0.489109662,0.437139192,0.412472301,0.522727273,0.396903323,0.461843918,0.452658779,0.469879265,0.470427554,0.151016592,0.13520371,0.198245414,0.311551436,0.462238657,0.556460709,0.494460221,0.645509146,0.008431703,0,0.500635232,0.008714597,0.087557604
52,0.736153133,0.762416272,0.611164038,0.489108273,0.458627325,0.427350427,0.517045455,0.421827795,0.481468199,0.473751164,0.495007201,0.515469116,0.151800483,0.134467281,0.197675882,0.293757056,0.482008249,0.559969921,0.489925981,0.644826645,0.010118044,0,0.488897872,0.010893246,0.096774194
53,0.736222405,0.762638943,0.610552687,0.489120586,0.441949968,0.417220639,0.539772727,0.414652568,0.471894742,0.467160447,0.474243321,0.508011218,0.14962599,0.135361498,0.200154143,0.298017062,0.472479021,0.579019927,0.465574228,0.647829648,0.010118044,0,0.489287674,0.008714597,0.096774194
54,0.736097973,0.762523183,0.610680807,0.489108438,0.430724824,0.41183919,0.505681818,0.401812689,0.463969506,0.458247288,0.465188489,0.465449085,0.149462957,0.13301313,0.197460083,0.315690682,0.464372067,0.576638677,0.463721428,0.645918646,0.008431703,0,0.48860913,0.010893246,0.082949309
55,0.73623403,0.762194172,0.611562259,0.489064209,0.475304682,0.440012662,0.494318182,0.441465257,0.497625042,0.480957014,0.505609289,0.526322572,0.153495906,0.135283046,0.203626691,0.307790759,0.498079932,0.569244266,0.502704716,0.646328146,0.010118044,0,0.503190599,0.006535948,0.129032258
56,0.736593735,0.762220121,0.611541613,0.489074299,0.503207184,0.471351694,0.5,0.475075529,0.512269035,0.510939543,0.529558309,0.581601235,0.157658748,0.139450745,0.208370522,0.325493421,0.514862751,0.588670259,0.52329035,0.651788152,0.016863406,0,0.485721711,0.006535948,0.119815668
57,0.73712674,0.762150205,0.610559883,0.489098109,0.516356639,0.459006015,0.522727273,0.46978852,0.524378948,0.523248491,0.528713891,0.572896618,0.155466433,0.139290478,0.208967577,0.322015249,0.527094297,0.591552826,0.498477725,0.650969151,0.016863406,0,0.487150983,0.004357298,0.142857143
58,0.737214151,0.761994961,0.612112163,0.489088714,0.454137267,0.429566318,0.522727273,0.421072508,0.487616967,0.483235519,0.499725205,0.515029263,0.149001176,0.13293903,0.200035093,0.310594931,0.488266249,0.576012032,0.510371957,0.649194649,0.013490725,0,0.475370312,0.008714597,0.105990783
59,0.737247193,0.76206931,0.611628226,0.489097341,0.438742784,0.418486863,0.522727273,0.400302115,0.47372821,0.46845976,0.475762961,0.486091383,0.147799697,0.133767278,0.199572361,0.321021451,0.474327976,0.573129465,0.483711187,0.648648649,0.010118044,0,0.491713106,0.008714597,0.101382488
60,0.737089346,0.762088656,0.610806682,0.489075025,0.442270686,0.415321304,0.528409091,0.39765861,0.478798746,0.477849962,0.508692133,0.488680075,0.147533957,0.131832486,0.195248682,0.312851959,0.479163704,0.580147888,0.498505656,0.647147147,0.010118044,0,0.494311784,0.008714597,0.092165899
61,0.7369397,0.761966581,0.611971794,0.489126922,0.446119307,0.420069642,0.522727273,0.412009063,0.480283095,0.472546004,0.491880017,0.48516685,0.150754229,0.134039276,0.200379514,0.313205512,0.480870431,0.56385512,0.517098832,0.647283647,0.008431703,0,0.489489793,0.006535948,0.082949309
62,0.737096056,0.762370654,0.61201808,0.489102294,0.440987813,0.418170307,0.528409091,0.409365559,0.480715337,0.469629351,0.493164341,0.501881284,0.148008867,0.133564823,0.196668909,0.300131187,0.481297113,0.572628149,0.50656394,0.646191646,0.010118044,0,0.485115352,0.008714597,0.087557604
63,0.737133155,0.762115782,0.61190818,0.489099285,0.450288647,0.417853751,0.511363636,0.410120846,0.486460362,0.477504734,0.494868345,0.490694436,0.146036043,0.130957806,0.195931225,0.313311429,0.486986204,0.576137361,0.502783856,0.646464646,0.005059022,0,0.487641844,0.008714597,0.087557604
64,0.737135153,0.762189509,0.611822798,0.489114533,0.445798589,0.427033871,0.5,0.413141994,0.481613072,0.476084068,0.501223841,0.497673259,0.148888101,0.134391206,0.193528636,0.306916415,0.482292704,0.578769269,0.511140077,0.646601147,0.003372681,0,0.492074033,0.006535948,0.082949309
65,0.73707348,0.762270508,0.610916999,0.489109263,0.43745991,0.416270972,0.528409091,0.397280967,0.482285185,0.470891002,0.493478615,0.472705267,0.144915049,0.131360721,0.192357376,0.31526781,0.482719386,0.570246898,0.496857688,0.645099645,0.008431703,0,0.505717091,0.008714597,0.073732719
66,0.737033635,0.762244549,0.610843552,0.489113426,0.450930083,0.428616651,0.522727273,0.421072508,0.488626324,0.477000492,0.499713536,0.496653471,0.146622301,0.130624589,0.195043487,0.301053986,0.488977386,0.574758742,0.49798892,0.644690145,0.008431703,0,0.496448474,0.008714597,0.078341014
67,0.736970447,0.762962141,0.612159385,0.489112863,0.437139192,0.428300095,0.5,0.407854985,0.482553555,0.474209376,0.476737678,0.478112384,0.145623342,0.13208975,0.197032441,0.311506503,0.483857204,0.57864394,0.486434524,0.646874147,0.008431703,0,0.495048076,0.008714597,0.082949309
68,0.736960638,0.762241003,0.612586345,0.489103355,0.45574086,0.430832542,0.534090909,0.419939577,0.492181637,0.482453002,0.495678535,0.498777095,0.14699816,0.132333738,0.196570867,0.302515472,0.492817522,0.578769269,0.503482147,0.647693148,0.008431703,0,0.486674559,0.006535948,0.101382488
69,0.736923697,0.762234593,0.612110589,0.48909558,0.450930083,0.427033871,0.517045455,0.415030211,0.485828623,0.472627604,0.492908021,0.494182447,0.149663195,0.133189369,0.198074868,0.309832285,0.486417295,0.575886703,0.510036777,0.646328146,0.008431703,0,0.50770941,0.006535948,0.101382488
70,0.736899524,0.76226705,0.612607378,0.489103023,0.442591405,0.429249763,0.534090909,0.41163142,0.48543913,0.477096737,0.491796781,0.486531237,0.147985332,0.132102119,0.195758794,0.30869172,0.485990613,0.577515979,0.519393883,0.647010647,0.010118044,0,0.503970202,0.006535948,0.101382488
71,0.736961036,0.762424876,0.611994611,0.489119631,0.47370109,0.436213992,0.556818182,0.427870091,0.498102408,0.485131134,0.512819705,0.531581203,0.147285475,0.132378365,0.196959996,0.2919511,0.498791068,0.562977817,0.52044132,0.648921649,0.001686341,0,0.502598678,0.008714597,0.105990783
72,0.737146863,0.762395658,0.613548258,0.489120767,0.478191148,0.445077556,0.539772727,0.427870091,0.496366314,0.485331994,0.509832544,0.528561063,0.151273288,0.135877305,0.200159155,0.294703449,0.497226568,0.575510716,0.536362367,0.645099645,0.013490725,0,0.478777467,0.006535948,0.101382488
73,0.737115851,0.762340126,0.612279702,0.489138345,0.448043618,0.433681545,0.551136364,0.399924471,0.484686268,0.476280744,0.505908395,0.482384847,0.15138782,0.134481823,0.196053386,0.306116564,0.485137249,0.577641308,0.513109259,0.644963145,0.008431703,0,0.516285046,0.008714597,0.096774194
74,0.737152529,0.762316924,0.612878965,0.489149326,0.466645285,0.440645774,0.534090909,0.429380665,0.501090106,0.488855412,0.519373178,0.490658015,0.14979034,0.134287142,0.193626822,0.319621404,0.501635614,0.560596566,0.51968251,0.648921649,0.010118044,0,0.502021194,0.008714597,0.096774194
75,0.737007399,0.762378046,0.612551852,0.489133695,0.464400257,0.434314657,0.517045455,0.426359517,0.489514558,0.491006287,0.5023133,0.496042719,0.153018404,0.134382498,0.200511992,0.321856074,0.489972977,0.573254794,0.508421396,0.644963145,0.011804384,0,0.492146219,0.006535948,0.101382488
76,0.737054404,0.762593404,0.611306853,0.489166739,0.477228993,0.439696106,0.539772727,0.430891239,0.495252458,0.488349078,0.50262913,0.533012829,0.150787249,0.136826766,0.201703017,0.302946304,0.496373204,0.568492292,0.507532238,0.646874147,0.010118044,0,0.483945948,0.008714597,0.105990783
77,0.737064854,0.762394908,0.612271124,0.489136141,0.472418217,0.436213992,0.517045455,0.419561934,0.497009927,0.489487284,0.507907614,0.492728409,0.153752871,0.1374181,0.203298202,0.332160737,0.497795477,0.580398546,0.523513803,0.647829648,0.010118044,0,0.530404527,0.006535948,0.105990783
78,0.737147243,0.762445897,0.612184026,0.489154775,0.48396408,0.446660336,0.551136364,0.445241692,0.493620862,0.497645127,0.506835659,0.526756823,0.157066449,0.138614115,0.204113142,0.332460234,0.494950932,0.5750094,0.508281737,0.647283647,0.010118044,0,0.532801086,0.008714597,0.124423963
79,0.737303817,0.762455014,0.61237249,0.489164513,0.477228993,0.441911997,0.551136364,0.435045317,0.501394101,0.498745672,0.49828141,0.545012145,0.155767175,0.138942586,0.206221114,0.310235961,0.503057887,0.570121569,0.50883106,0.647693148,0.011804384,0,0.497964369,0.008714597,0.110599078
80,0.737265373,0.762422403,0.612789725,0.489157675,0.478191148,0.443494777,0.545454545,0.428625378,0.494478222,0.487890866,0.498617466,0.499875328,0.157212259,0.138699009,0.204190764,0.334089054,0.495804295,0.557338012,0.527103021,0.647420147,0.010118044,0,0.502569803,0.008714597,0.096774194
81,0.737213172,0.762425563,0.612195172,0.489176386,0.470173188,0.448243115,0.534090909,0.439954683,0.48685698,0.486108234,0.482263926,0.499995798,0.159266398,0.139257805,0.210414814,0.336480625,0.487839568,0.560847224,0.486499697,0.645645646,0.011804384,0,0.502410995,0.013071895,0.096774194
82,0.737250815,0.762443835,0.613091614,0.489189352,0.471135343,0.449509338,0.568181818,0.435045317,0.497330547,0.493870634,0.507594118,0.503671516,0.164628244,0.144267748,0.205607163,0.340067515,0.499359977,0.568116305,0.512764769,0.647420147,0.008431703,0,0.477781307,0.008714597,0.101382488
83,0.737314176,0.762430618,0.61333158,0.489192407,0.485246953,0.447926559,0.556818182,0.441465257,0.498102408,0.492217724,0.509998238,0.512488198,0.154838542,0.135849179,0.203615168,0.329146185,0.498791068,0.578142624,0.516563475,0.647693148,0.013490725,0,0.465986198,0.008714597,0.115207373
84,0.737421295,0.762547722,0.61307335,0.489182245,0.49198204,0.459639126,0.579545455,0.461102719,0.500056999,0.499825294,0.506457597,0.557717468,0.156227325,0.137040069,0.208398164,0.30645449,0.501493386,0.584033087,0.50606117,0.648512149,0.011804384,0,0.517454451,0.010893246,0.129032258
85,0.737370191,0.762453137,0.612039922,0.489191208,0.472097498,0.442228553,0.539772727,0.439954683,0.491811143,0.486035004,0.49556885,0.509779037,0.155780429,0.136785256,0.205731463,0.328980832,0.492675295,0.572878807,0.495386621,0.646874147,0.011804384,0,0.506655502,0.006535948,0.124423963
86,0.737263337,0.762598618,0.613753932,0.489195787,0.478191148,0.452674897,0.545454545,0.443731118,0.488384078,0.484911444,0.516120751,0.499614778,0.158458939,0.138804506,0.204873272,0.340294139,0.489404068,0.5836571,0.53827103,0.647829648,0.006745363,0,0.491164496,0.010893246,0.124423963
87,0.737192467,0.762657087,0.613350888,0.489195665,0.47177678,0.443178221,0.534090909,0.439954683,0.487020852,0.483063951,0.508168991,0.497530377,0.158365019,0.138451346,0.20387739,0.346507884,0.487839568,0.563103146,0.521768074,0.647147147,0.011804384,0,0.480971905,0.008714597,0.124423963
88,0.737282196,0.762444188,0.611642519,0.489177857,0.478191148,0.449509338,0.556818182,0.4418429,0.488726072,0.492008495,0.493842675,0.519119621,0.158663447,0.139125687,0.209992687,0.334054,0.48983075,0.569870911,0.488580606,0.647010647,0.011804384,0,0.514841336,0.008714597,0.129032258
89,0.737325979,0.762414659,0.612086698,0.489194108,0.476908275,0.445077556,0.528409091,0.440332326,0.49202489,0.493280608,0.491471616,0.551296167,0.16006454,0.140105729,0.212105921,0.313018929,0.493670886,0.568241634,0.485508123,0.650696151,0.015177066,0,0.491150059,0.008714597,0.129032258
90,0.737229494,0.76247136,0.612918408,0.489198136,0.466324567,0.439696106,0.534090909,0.42673716,0.485776374,0.482578539,0.478326941,0.508932949,0.159190246,0.139891672,0.213365033,0.333135482,0.486986204,0.562351172,0.48881337,0.647283647,0.011804384,0,0.495264632,0.008714597,0.119815668
91,0.737294079,0.762416871,0.613164443,0.489215502,0.482681206,0.452674897,0.539772727,0.439577039,0.490509666,0.490255155,0.50049611,0.511628102,0.157695015,0.138450359,0.206243006,0.332411539,0.491537477,0.574257426,0.509827289,0.648921649,0.010118044,0,0.493041319,0.010893246,0.115207373
